name,price,description,note,smell,texture,HTU,ingredient,main_ingredient,skin,care-,type,brand,weight,stock,total_purchase_quantity
Nước tẩy trang bí đao 140ml,145000,"Làn da dầu và mụn rất nhạy cảm nên cần ược thiết kế một loại nước tẩy trang phù hợp. Với công nghệ Micellar, nước tẩy trang bí ao giúp làm sạch hiệu quả lớp trang iểm, bụi bẩn và dầu thừa, mang lại làn da sạch hoàn toàn và dịu nhẹ.","Tránh dùng vùng mắt, chỉ dùng ngoài da",Mùi tinh dầu tràm trà thoang thoảng,Dạng nước trong suốt không màu,"Thấm ều sản phẩm lên bông tẩy trang, nhẹ nhàng lau khắp mặt ể làm sạch lớp trang iểm và bụi bẩn. Dịu nhẹ cho vùng môi và mắt.","Aqua/Water, Polyglyceryl-4 Laurate/Sebacate, Polyglyceryl-4 Caprylate/Caprate, Betaine, Benincasa Cerifera Fruit Extract, Centella Asiatica Extract, o-Cymen-5-ol, Propanediol, Glycereth-26, Glycerin, Trisodium Ethylenediamine Disuccinate, Sodium Lactate, Cetylpyridinium Chloride, Melaleuca Alternifolia Leaf Oil, Lactic Acid","Với chiết xuất bí ao, Rau má và Tràm trà","Da dầu, da mụn, da hỗn hợp thiên dầu",1,Tẩy Trang,cocoon,140ml,93,7
Dầu tẩy trang hoa hồng 140ml,180000,"Dầu tẩy trang hoa hồng giúp làm sạch sâu lớp trang iểm, bụi bẩn và dầu thừa, dưỡng ẩm mà không ể lại cảm giác nhờn rít khó chịu.","Tránh dùng vùng mắt, chỉ dùng ngoài da",Mùi hoa hồng thoang thoảng,Dạng dầu trong suốt không màu,,"GLYCERIN, AQUA/WATER, PEG-7 GLYCERYL COCOATE, C15-19 ALKANE, GLYCERETH-26, POLYSORBATE 20, ROSA DAMASCENA FLOWER OIL, TOCOPHERYL ACETATE, CARAMEL",Dầu hoa hồng và Vitamin E,"Da khô, Da hỗn hợp thiên khô, Da thường",1,Tẩy Trang,cocoon,140ml,91,9
Nước tẩy trang hoa hồng 140ml,155000,"Một công thức có tỉ lệ cân bằng từ nước cất hoa hồng hữu cơ, vitamin B5 và astaxanthin hoà quyện trong hệ nhũ hoá siêu nhỏ giúp tẩy sạch lớp trang iểm lâu trôi chỉ trong một bước, hỗ trợ cấp ẩm, làm mềm và làm dịu, mang lại làn da sạch sẽ và tươi mới.",Tránh ánh nắng mặt trời,Sản phẩm không có hương liệu,Dạng dầu và nước,"Lắc ều. Thấm sản phẩm lên bông tẩy trang, nhẹ nhàng lau khắp mặt ể làm sạch lớp trang iểm và bụi bẩn. Dịu nhẹ cho vùng môi và mắt.","Aqua, Isohexadecane, Cyclopentasiloxane, Isononyl Isononanoate, Sodium Lactate, Rosa Damascena Flower Water, Polyglyceryl-4 Laurate/Sebacate, Polyglyceryl-4 Caprylate/Caprate, Caprylic/Capric Triglyceride, Haematococcus Pluvialis Extract, Rosmarinus Officinalis Leaf Extract, Panthenol, Glycerin, Hydroxymethoxyphe - Nyl Decanone, Trisodium Ethylenediamine Disuccinate, Lactic Acid, Cetylpyridinium Chloride.","Nước cất hoa hồng hữu cơ, Vitamin B5 & Astaxanthin",Mọi loại da,1,Tẩy Trang,cocoon,140ml,93,7
Gel bí ao rửa mặt 140ml,195000,"Với các thành phần gồm bí ao, rau má, tràm trà, bổ sung thêm Vitamin B3, B5 và Betaine. Gel bí ao có pH 5.5 giúp làm sạch sâu bụi bẩn và dầu thừa, làm giảm việc hình thành mụn mà vẫn giữ ược ộ ẩm mịn tự nhiên và không gây khô da sau khi sử dụng.",Tránh ể sản phẩm vào mắt,Mùi tràm trà thoang thoảng,Gel trong mờ màu nâu vàng,Lấy một lượng vừa ủ mát-xa nhẹ nhàng trên da ướt. Rửa sạch lại với nước. Dùng buổi sáng và tối.,"Water/Aqua, Potassium Laureth Phosphate, Cocamidopropyl Betaine, Acrylates/Steareth-20 Methacrylate Copolymer, Sodium Cocoyl Glycinate, Cocoyl Methyl Glucamide, PEG-7-Glyceryl Cocoate, Glycerin, Benincasa Cerifera Fruit Extract, Salicylic Acid, Niacinamide, Panthenol, Centella Asiatica Extract , Betaine, Propanediol, Butylene Glycol, PEG-120 Methyl Glucose Dioleate, Molasses, Glycereth-26, Sodium Lactate, Sodium Hydroxide, Polysorbate 20, Melaleuca Alternifolia Leaf Oil, Rosmarinus Officinalis Leaf Oil, Lavandula Angustifolia Flower Oil, Allantoin, Ethylhexylglycerin, Phenoxyethanol, Xanthan gum, Menthyl Lactate, Trisodium Ethylenediamine Disuccinate",Với rau má và Tràm trà,"Da dầu, da mụn, da hỗn hợp thiên dầu",1,Sữa Rửa Mặt,cocoon,140ml,95,5
Gel rửa mặt hoa hồng 140ml,195000,"Với công thức dịu nhẹ không sulfate, ây là sản phẩm rửa mặt lý tưởng hàng ngày giúp làm sạch bụi bẩn và các tạp chất mà không làm mất i ộ ẩm cần thiết của da, giúp bổ sung ẩm và mang lại làn da mềm mịn sau khi sử dụng.","Tránh dùng vùng mắt, chỉ dùng ngoài da",Mùi hoa hồng thoang thoảng,Gel trong suốt không màu,,"Aqua/Water, Sodium Cocoyl Glycinate, Disodium Laureth Sulfosuccinate, Cocamidopropyl Betaine, Glycerin, Rosa Damascena Flower Water, Coco-Glucoside, PEG-120 Methyl Glucose Triisostearate, Cocoyl Methyl Glucamide, Sodium PEG-7 Olive Oil Carboxylate, PEG-7 Glyceryl Cocoate, Rosa Damascena Extract, Betaine, Propanediol, Glycereth-26, Allantoin, Butylene Glycol, PEG-120 Methyl Glucose Dioleate, Ethylhexylglycerin, Trisodium Ethylenediamine Disuccinate, Citric Acid, Phenoxyethanol, Caramel.","Nước cất hoa hồng hữu cơ, Betaine, Chiết xuất hoa hồng","Da khô, Da hỗn hợp thiên khô, Da thường",1,Sữa Rửa Mặt,cocoon,140ml,95,5
Sữa rửa mặt nghệ Hưng Yên 140ml,195000,"Với công thức dịu nhẹ không Sulfate, sữa rửa mặt từ nghệ Hưng Yên giúp làm sạch hiệu quả mà không gây khô da, ồng thời hỗ trợ làm sạch tế bào chết, mang lại làn da ều màu, mềm mịn và tươi sáng rạng rỡ.",Khuyến khích dùng vào buổi tối. Nếu dùng vào buổi sáng nên dùng kèm kem chống nắng,Mùi nghệ thoang thoảng,Dạng sữa màu vàng nhạt,,"Aqua/Water, Disodium Cocoyl Glutamate, Potassium Laureth Phosphate, Sodium Laurylglucosides Hydroxypropylsulfonate, Lactic Acid, Glycerin, Polysorbate 20, PEG-120 Methyl Glucose Dioleate, Cetearyl Alcohol, Curcuma Longa (Turmeric) Root Extract, Glycolic Acid, Beta-Carotene, Daucus Carota Sativa (Carrot) Root Extract, Betaine, Allantoin, Propanediol, Glycereth-26, Cocoyl Methyl Glucamide, Ethylhexylglycerin, Xanthan Gum, Tocopherol, Glycine Soja (Soybean) Oil, Trisodium Ethylenediamine Disuccinate, Sodium Benzoate, Eucalyptus Globulus Leaf Oil, Potassium Sorbate, Phenoxyethanol.","Chiết xuất nghệ, cà rốt và AHA",Mọi loại da,1,Sữa Rửa Mặt,cocoon,140ml,93,7
Nước dưỡng tóc sa-chi 140ml,145000,"Nước dưỡng từ dầu sa-chi kết hợp với HA và các axit amin sẽ bao phủ toàn bộ mái tóc giúp cấp ẩm nhanh, củng cố và bảo vệ lớp sừng của tóc, từ ó phục hồi hư tổn giúp tóc trở nên ẩm mềm, chắc khoẻ ầy sức sống","Tránh dùng vùng mắt, chỉ dùng ngoài da.","Sản phẩm có mùi nhẹ nhàng của tinh dầu hương thảo, phong lữ, bạc hà thư giãn.",Dạng lỏng dễ thẩm thấu vào tóc và da dầu.,,"Water, Glycerin, PEG-12 Dimethicone, Plukenetia Volubilis (Inca Inchi) Seed Oil, Panthenol, Hydrolyzed Wheat Protein, Sodium Hyaluronate, Sodium Pca, Sodium Lactate, Arginine, Aspartic Acid, Pca, Glycine, Alanine, Serine, Valine, Proline, Threonine, Isoleucine, Histidine, Phenylalanine, Xylitylglucoside, Anhydroxylitol, Maltitol, Xylitol, Pelvetia Canaliculata Extract, Glycolic Acid, Tromethamine, Trisodium Ethylenediamine Disuccinate, PEG-40 Hydrogenated Castor Oil, PEG-7 Glyceryl Cocoate, Phenoxyethanol, Mentha Piperita Oil, Ocimum Gratissimum Herb Oil, Pelargonium Graveolens Oil, Parfum, Ethylhexylglycerin.","Dầu sa-chi, HA và axít amin",Mọi loại tóc,2,Nước Dưỡng Tóc,cocoon,140ml,95,5
Nước dưỡng tóc tinh dầu bưởi 140ml,165000,"Sản phẩm treatment dành cho tóc, phù hợp với tình trạng tóc rụng, tóc yếu, tóc thưa mỏng. Sản phẩm có thành phần từ tinh dầu bưởi Việt Nam truyền thống, Xylishine, Vitamin B5, Baicapil và Bisabolol. Nước dưỡng tóc tinh dầu bưởi giúp ngăn ngừa 60% nguyên nhân rụng tóc, làm gia tăng mật ộ của tóc, từ ó giúp tóc dày lên trông thấy. ồng thời, sản phẩm còn giúp nuôi dưỡng da ầu và cung cấp ộ ẩm cho tóc.","Tránh ể sản phẩm tiếp xúc với mắt, chỉ dùng ngoài da",Mùi tinh dầu bưởi và tinh dầu bạc hà thanh mát,Gồm 2 lớp: lớp tinh dầu và lớp dung dịch dưỡng,,"Water, Isododecane, C15-19 Alkane, Glycerin, Citrus Grandis Peel Oil, Xylitylglucoside, Anhydroxylitol, Maltitol, Xylitol, Pelvetia Canaliculata Extract, Propanediol, Arginine, Lactic Acid, Glycine Soja Germ Extract, Triticum Vulgare Germ Extract, Scutellaria Baicalensis Root Extract, Bisabolol, Gluconolactone, Calcium Gluconate, Panthenol, Betaine, Citrus Aurantium Dulcis Peel Oil, Mentha Piperita Oil, Sodium Polyacrylate Starch, Glycereth-26, Phenyl Trimethicone, Caprylyl Methicone, Trisodium Ethylenediamine Disuccinate, Ethyhexylglycerin, Bht, Phenoxyethanol, Sodium Benzoate.","Tinh dầu vỏ bưởi nguyên chất, Vitamin B5 (Panthenol), Xylishine, Baicapil, Bisabolol.",Tóc yếu gãy rụng,2,Nước Dưỡng Tóc,cocoon,140ml,94,6
Dầu gội bưởi refill không sulfate 500ml,375000,"Từ tinh dầu vỏ bưởi Việt Nam truyền thống kết hợp với vitamin B5, hoạt chất dưỡng ẩm Xylishine™ cùng công thức dịu nhẹ không chứa sulfate, dầu gội bưởi giúp làm sạch tóc và giảm gãy rụng, mang lại mái tóc en dày, chắc khoẻ và mượt mà","Tránh dùng vùng mắt, chỉ dùng ngoài da",Mùi tinh dầu bưởi thơm mát,Dạng gel trong mờ màu trắng ngà,,"Aqua/Water, Sodium Cocoyl Isethionate, Sodium Laurylglucosides Hydroxypropylsulfonate, Glycerin, Disodium Laureth Sulfosuccinate, Cocamidopropyl Betaine, PEG-12 Dimethicone, PEG-7 Glyceryl Cocoate, Dimethicone, Citrus Grandis Peel Oil, Panthenol, Amodimethicone, Epilobium Angustifolium Flower/Leaf/Stem Extract, Thymus Vulgaris (Thyme) Extract, Triticum Vulgare (Wheat) Seed Extract, Cocoyl Methyl Glucamide, Calcium Pantothenate, Pyridoxine Hcl, Sodium PCA, Sodium Lactate, Arginine, Aspartic Acid, PCA, Glycine, Alanine, Serine, Valine, Proline, Threonine, Isoleucine, Histidine, Phenylalanine, Xylitylglucoside, Anhydroxylitol, Maltitol, Xylitol, Pelvetia Canaliculata Extract, Propanediol, Bis-(Isostearoyl/Oleoyl Isopropyl) Dimonium Methosulfate, Trisodium Ethylenediamine Disuccinate, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Cocamide MEA, Parfum, Polysorbate-20, Xanthan Gum, PEG-120 Methyl Glucose Dioleate, PEG-45M, Laureth-23, Polyquaternium-10, Laureth-4, Trideceth-10, Sodium Hydroxide, Phenoxyethanol, Ethylhexylglycerin.","Tinh dầu bưởi, Vitamin B5,  Xylishine™ và  Axít amin",Mọi loại tóc,2,Dầu Gội,cocoon,500ml,100,0
Gel tắm bí ao 310ml,245000,"Giúp da sạch mịn màng và giảm mụn lưng. Tinh dầu sả chanh giảm mùi cơ thể, tạo cảm giác sảng khoái, thư giãn","Tránh dùng vùng mắt, chỉ dùng ngoài da",Mùi tinh dầu sả thư giãn,Gel màu vàng nhạt,,"Aqua/Water, Myristic Acid, Sodium Laureth Sulfate, Glycerin, Cocamidopropyl Betaine, Potassium Hydroxide, Lauric Acid, Sodium Cocoyl Glycinate, Cocamide Mea, Sodium Methyl Cocoyl Taurate, PEG-7 Glyceryl Cocoate, Polyquaternium-39, Benincasa Cerifera (Bí ao) Fruit Extract, Cymbopogon Citratus (Sả chanh) Leaf Oil, PEG-120 Methyl Glucose Dioleate, Mentha Piperita (Bạc hà) Oil, Stearic Acid, PEG-12 Dimethicone, O-Cymen-5-OL, PEG-45M, Tocopheryl Acetate, Trisodium Ethylenediamine Disuccinate, Phenoxyethanol, Ethylhexylglycerin.","Với chiết xuất bí ao, Tinh dầu sả chanh và Tinh dầu bạc hà",Da cơ thể có mụn,3,Sữa Tắm,cocoon,500ml,100,0
Gel tắm khuynh diệp & bạc hà 500ml,245000,"Vận dụng liệu pháp mùi hương từ tinh dầu khuynh diệp, bạc hà, kết hợp với vitamin B5 và hoạt chất dưỡng ẩm Betaine, Gel tắm sẽ làm sạch nhẹ nhàng và giữ cho làn da cơ thể luôn mềm mại, ồng thời giúp thư giãn, giải tỏa căng thẳng và mang lại một tinh thần thông suốt.","Tránh dùng vùng mắt, chỉ dùng ngoài da",Mùi tinh dầu khuynh diệp và bạc hà thư giãn,Gel trong suốt không màu,,,"Với tinh dầu thiên nhiên, Vitamin B5 (panthenol) và Betaine",Mọi loại da,3,Sữa Tắm,cocoon,45g,100,0
Xà phòng rửa tay khuynh diệp & bạc hà hình chú thỏ 45g,59000,"Với dầu dừa, Tinh chất khuynh diệp, Bạc hà và Vitamin E, xà phòng rửa tay tạo bọt nhẹ nhàng giúp làm sạch vi khuẩn, bảo vệ ôi tay luôn sạch sẽ, thơm tho.","Tránh dùng vùng mắt, chỉ dùng ngoài da","Mùi tinh khuynh diệp & bạc hà thanh mát, thư giãn",Dạng xà phòng trắng ục,,"COCOS NUCIFERA (COCONUT) OIL, AQUA/WATER, SODIUM HYDROXIDE, GLYCERIN,EUCA-LYPTUS GLOBULUS LEAF OIL, MENTHA PIPERITA OIL, TOCOPHERYL ACETATE.","Tinh dầu khuynh diệp, Tinh dầu bạc hà",Mọi loại da,3,Sữa Tắm,cocoon,45g,100,0
Bơ dưỡng thể cà phê ắk Lắk 200ml,215000,"Dầu cà phê ắk Lắk rất giàu cafein, kết hợp với dầu mù u và bơ cacao, tất cả hòa quyện nên một thể bơ sánh mịn giúp dưỡng ẩm, làm mềm và chống oxi hóa, mang lại làn da cơ thể luôn mượt mà, tươi mới rạng rỡ.","Tránh dùng vùng mắt, chỉ dùng ngoài da","Mùi thơm ặc trưng của dầu cà phê ắk Lắk 
và bơ ca cao Tiền Giang","Dạng bơ ặc, sánh mịn màu trắng ngà",,"Aqua/Water, Caprylic/Capric Triglyceride, Glyceryl Stearate, Cetearyl Alcohol, C10-18 Triglycerides, Ceteareth-20, Ceteareth-12, Glycerin, Dicaprylyl Carbonate, Cetyl Palmitate, Cyclopentasiloxane, Coffea Arabica (Coffee) Seed Oil, Calophyllum Inophyllum Seed Oil, Theobroma Cacao (Cocoa) Seed Butter, Behenyl Alcohol, Niacinamide, Butyrospermum Parkii (Shea) Butter, Pentylene Glycol, Cetyl Alcohol, Macadamia Ternifolia Seed Oil, Carthamus Tinctorius (Safflower) Seed Oil, C15-19 Alkane, Tocopherol, Dimethiconol, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Xanthan Gum, BHT, Ethylhexylglycerin, Parfum, Trisodium Ethylenediamine Disuccinate, Phenoxyethanol, Caramel, Lactic Acid.","Dầu cà phê, Dầu mù u, Bơ ca cao",Mọi loại da cơ thể,3,Dưỡng Thể,cocoon,200ml,100,0
Sữa dưỡng thể khuynh diệp & bạc hà 140ml,95000,"Với cấu trúc mềm mịn, thẩm thấu nhanh và không nhờn rít, sữa dưỡng thể giúp nuôi dưỡng, cấp ẩm, ồng thời giúp thư giãn và mang lại làn da tươi mới.","Tránh dùng vùng mắt, chỉ dùng ngoài da","Mùi tinh khuynh diệp & bạc hà thanh mát, thư giãn",Dạng sữa có màu trắng ngà,,"Aqua/Water, Glyceryl Stearate, Cetearyl Alcohol, Cetyl Palmitate, Ceteareth-12, Ceteareth-20, Caprylic/Capric Triglyceride, Oryza Sativa (Rice) Bran Oil, C10-18 Triglycerides, Dicaprylyl Carbonate, Butyrospermum Parkii (Shea) Butter, Panthenol, Niacinamide, Betaine, Allantoin, Glycereth-26, Tocopherol, Glycerin, Ethylhexylglycerin, Butylene Glycol, Hydroxyacetophenone, Pentylene Glycol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Dimethicone/Vinyl Dimethicone Crosspolymer, Trisodium Ethylenediamine Disuccinate, Sodium Hydroxide, Cyclopentasiloxane, Eucalyptus Globulus Leaf Oil, Mentha Piperita Oil, Limonene, Pelargonium Graveolens Flower Oil, Phenoxyethanol.","Với Niacinamide (Vitamin B3), Dầu cám gạo và Bơ hạt mỡ",Mọi loại da,3,Dưỡng Thể,cocoon,140ml,100,0
Xịt thâm mụn lưng bí ao 140ml,265000,"Sản phẩm nổi bật với thiết kế vòi xịt 360 ộ có khả năng hoạt ộng mọi góc ộ cùng công thức treatment không cồn hoàn hảo: chiết xuất bí ao, 2% BHA & 5% AHA giúp làm sạch mụn, làm mờ vết thâm và hạn chế mụn mới hình thành.","Khuyến khích dùng vào buổi tối. Nếu dùng vào buổi sáng nên dùng kèm kem chống nắng. Trong tháng ầu sử dụng  bạn nên dùng 2-3 lần 1 tuần, xịt một lớp mỏng toàn lưng hoặc xịt ra tay và thoa toàn lưng","Mùi tràm trà, oải hương, bạc hà và hương thảo thoang thoảng dịu nhẹ",Dạng nước trong suốt,"Lưu ý: Tránh tiếp xúc với mắt. Sản phẩm chứa axít alpha hydroxy (AHA) có thể làm tăng ộ nhạy cảm của da với ánh nắng mặt trời, do ó cần sử dụng kem chống nắng và tránh nắng trong quá trình sử dụng sản phẩm.","Aqua/Water, Lactic Acid, Cocamidopropyl Dimethylamine, Salicylic Acid, Glycerin, Propanediol, Benincasa Cerifera Fruit Extract, Glycolic Acid, O-Cymen-5-Ol, Butylene Glycol, Ethylhexylglycerin, Polysorbate 20, Melaleuca Alternifolia Leaf Oil, Lavandula Angustifolia Flower Oil, Rosmarinus Officinalis Leaf Oil, Mentha Piperita Oil, Trisodium Ethylenediamine Disuccinate, Sodium Hydroxide, Phenoxyethanol.","Chiết xuất bí ao, 2% BHA và 5% AHA","Người ang gặp vấn ề mụn tại vùng da lưng, ngực và các vùng da khác trên cơ thể",3,Xịt Cơ Thể,cocoon,140ml,100,0
Cà phê ắk Lắk làm sạch da chết môi 5g,75000,"Chúng tôi tự hào khi mang những hạt cà phê ắk Lắk ược rang xay bằng tay vào sản phẩm chăm sóc môi ặc biệt này, những hạt cà phê li ti hòa quyện vào dầu mắc-ca và bơ hạt mỡ sẽ nhẹ nhàng làm bong những tế bào da chết ở môi, em lại làn môi mềm và mịn màng.","Tránh dùng vùng mắt, chỉ dùng ngoài da",Mùi thơm ặc trưng của cà phê ắk Lắk,Dạng thỏi son có nhiều hạt cà phê xay rất mịn,,"BUTYROSPERMUM PARKII BUTTER, MACADAMIA INTEGRIFOLIA SEED OIL, COFFEA ARABICA SEED POWDER, CARTHAMUS TINCTORIUS SEED OIL, SYNTHETIC WAX, C10-18 TRIGLYCERIDES, TOCO-PHERYL ACETATE, MENTHYL LACTATE","Với hạt cà phê nguyên chất xay mịn, dầu mắc - ca và bơ hạt mỡ",Da môi,4,Tẩy Da Chết Môi,cocoon,5g,100,0
Son dưỡng dầu dừa Bến Tre 5g,32000,"Giúp ôi môi mềm mượt, căng mọng, chống khô môi, nứt nẻ do thời tiết.","Tránh dùng vùng mắt, chỉ dùng cho da môi",Mùi dầu dừa ặc trưng,Dạng thỏi có màu trắng ục,Dùng mỗi ngày ể ạt kết quả tốt nhất.,"COCOS NUCIFERA (COCONUT) OIL, BIS-DIGLYCERYL POLYACYLADIPATE-2, SYNTHETIC BEESWAX, C15-19 ALKANE, BUTYROSPERMUM PARKII (SHEA) BUTTER, CANDELILLA CERA, TOCOPHERYL ACETATE",Với bơ hạt mỡ và Vitamin E,Da môi,4,Dưỡng Ẩm Môi,cocoon,5g,100,0
